canonical_smiles,uniprot_id,K,AC50,pK,pAC50,Protein_family,compound_id
COC(=O)NCCCC(C)(C)Nc1cc(-c2ccc3cc(C#N)cnn23)ncc1C(=O)NC[C@@H](F)C(C)(C)O,P01375,,243.0,,6.614,Other,compound_5089
COC(=O)NCCC(C)(C)Nc1cc(-c2ccc3cc(C#N)cnn23)ncc1C(=O)NC[C@@H](F)C(C)(C)O,P01375,,87.0,,7.06,Other,compound_5090
COC(=O)N1C[C@@H]2[C@H](C1)[C@H]2Nc1cc(-c2ccc3cc(C#N)cnn23)ncc1C(=O)NC[C@@H](F)C(C)(C)O,P01375,,35.0,,7.456,Other,compound_5091
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1CC[C@H](N2CCC(F)(F)C2)CC1,P01375,,793.0,,6.101,Other,compound_5092
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1CC[C@@H](N2CCC(F)(F)C2)CC1,P01375,,59.0,,7.229,Other,compound_5093
CNC(=O)OC[C@H]1C[C@H](Nc2cc(-c3ccc4cc(C#N)cnn34)ncc2C(=O)NC[C@@H](F)C(C)(C)O)C1,P01375,,23.0,,7.638,Other,compound_5094
COC(=O)NC(C)(C)CCCNc1cc(-c2ccc3cc(C#N)cnn23)ncc1C(=O)NC[C@@H](F)C(C)(C)O,P01375,,169.0,,6.772,Other,compound_5095
COC(=O)NC(C)(C)CCNc1cc(-c2ccc3cc(C#N)cnn23)ncc1C(=O)NC[C@@H](F)C(C)(C)O,P01375,,203.0,,6.693,Other,compound_5096
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1C[C@H](CNC(=O)OCC(F)F)C1,P01375,,4.0,,8.398,Other,compound_5097
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1C[C@H](Cn2ccccc2=O)C1,P01375,,58.0,,7.237,Other,compound_5098
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1C[C@@H](CO)C1,P01375,,40.0,,7.398,Other,compound_5099
COC(=O)N[C@H]1C[C@@H](CNC(=O)c2cnc(-c3ccc4cc(C#N)cnn34)cc2NC23CCC(O)(CC2)CC3)C1,P01375,,59.0,,7.229,Other,compound_5100
N#Cc1cnn2c(-c3cc(NC45CCC(O)(CC4)CC5)c(C(=O)NC[C@H]4C[C@@H](NC(=O)C5CC5)C4)cn3)ccc2c1,P01375,,89.0,,7.051,Other,compound_5101
COC(=O)N[C@H]1C[C@H](CNC(=O)c2cnc(-c3ccc4cc(C#N)cnn34)cc2NC23CCC(O)(CC2)CC3)C1,P01375,,248.0,,6.606,Other,compound_5102
CN(C)C(=O)OC[C@H]1C[C@H](Nc2cc(-c3ccc4cc(C#N)cnn34)ncc2C(=O)NC[C@@H](F)C(C)(C)O)C1,P01375,,29.0,,7.538,Other,compound_5103
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1C[C@H](COC(=O)NCC(F)F)C1,P01375,,48.0,,7.319,Other,compound_5105
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1C[C@H](COC(=O)N2CCC(F)(F)C2)C1,P01375,,26.0,,7.585,Other,compound_5106
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1C[C@H](COC(=O)N2CC(F)(F)C2)C1,P01375,,29.0,,7.538,Other,compound_5107
N#Cc1cnn2c(-c3cc(NC45CCC(O)(CC4)CC5)c(C(=O)NCC4(F)CCC4)cn3)ccc2c1,P01375,,277.0,,6.558,Other,compound_5108
CC(C)(F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1NC12CCC(O)(CC1)CC2,P01375,,265.0,,6.577,Other,compound_5109
COC(=O)N1CC[C@H](CNC(=O)c2cnc(-c3ccc4cc(C#N)cnn34)cc2NC23CCC(O)(CC2)CC3)C1,P01375,,124.0,,6.907,Other,compound_5110
COC(=O)N1CC[C@@H](CNC(=O)c2cnc(-c3ccc4cc(C#N)cnn34)cc2NC23CCC(O)(CC2)CC3)C1,P01375,,126.0,,6.9,Other,compound_5111
CNC(=O)OC[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1NC12CCC(O)(CC1)CC2,P01375,,54.0,,7.268,Other,compound_5112
COC(=O)N1CC(CNC(=O)c2cnc(-c3ccc4cc(C#N)cnn34)cc2NC23CCC(O)(CC2)CC3)C1,P01375,,157.0,,6.804,Other,compound_5113
N#Cc1cnn2c(-c3cc(NC45CCC(O)(CC4)CC5)c(C(=O)NCCO)cn3)ccc2c1,P01375,,87.0,,7.06,Other,compound_5114
COC(=O)NCCNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1NC12CCC(O)(CC1)CC2,P01375,,105.0,,6.979,Other,compound_5115
CNC(=O)OC[C@@H]1C[C@H]1Nc1cc(-c2ccc3cc(C#N)cnn23)ncc1C(=O)NC[C@@H](F)C(C)(C)O,P01375,,169.0,,6.772,Other,compound_5116
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1NC1CC2(C1)CC(F)(F)C2,P01375,,52.0,,7.284,Other,compound_5118
COC(=O)N[C@H]1CC[C@H](Nc2cc(-c3ccc4cc(C#N)cnn34)ncc2C(=O)NC[C@@H](F)C(C)(C)O)C1,P01375,,198.0,,6.703,Other,compound_5119
COC(=O)N1CC[C@@H](Nc2cc(-c3ccc4cc(C#N)cnn34)ncc2C(=O)NC[C@@H](F)C(C)(C)O)C1,P01375,,80.0,,7.097,Other,compound_5121
CC(C)(O)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1NC12CCC(O)(CC1)CC2,P01375,,225.0,,6.648,Other,compound_5122
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1Nc1cnn(-c2ccccn2)c1,P01375,,16.0,,7.796,Other,compound_5124
COC(=O)NCC1(F)CC(Nc2cc(-c3ccc4cc(C#N)cnn34)ncc2C(=O)NC[C@@H](F)C(C)(C)O)C1,P01375,,323.0,,6.491,Other,compound_5125
COC(=O)NCC1(O)CC(Nc2cc(-c3ccc4cc(C#N)cnn34)ncc2C(=O)NC[C@@H](F)C(C)(C)O)C1,P01375,,33.0,,7.481,Other,compound_5126
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1Nc1cnn(-c2ccncc2)c1,P01375,,26.0,,7.585,Other,compound_5127
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1Nc1ccc(-n2cncn2)cc1,P01375,,7.0,,8.155,Other,compound_5128
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1NC1CC2(CNC(=O)O2)C1,P01375,,155.0,,6.81,Other,compound_5129
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1Nc1ccc(-n2cncn2)nc1,P01375,,38.0,,7.42,Other,compound_5130
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1Nc1ccc(-n2ccnc2)cc1,P01375,,35.0,,7.456,Other,compound_5131
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1Nc1ccc(-n2ccnc2)nc1,P01375,,24.0,,7.62,Other,compound_5132
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1Nc1ccc(-n2cccn2)cc1,P01375,,44.0,,7.357,Other,compound_5133
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1Nc1ccc(-n2cccn2)nc1,P01375,,50.0,,7.301,Other,compound_5134
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1Nc1ccc(-n2cnnc2)cc1,P01375,,14.0,,7.854,Other,compound_5136
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1Nc1ccc(-c2ccon2)cc1,P01375,,43.0,,7.367,Other,compound_5137
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1C[C@H](Cn2cncn2)C1,P01375,,32.0,,7.495,Other,compound_5139
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1CC[C@H](c2ccon2)CC1,P01375,,15.0,,7.824,Other,compound_5140
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1Nc1ccc(-n2nccn2)nc1,P01375,,51.0,,7.292,Other,compound_5141
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1CC[C@H](n2nccn2)CC1,P01375,,28.0,,7.553,Other,compound_5142
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1NC12CCC(N3CCOCC3)(CC1)CC2,P01375,,38.0,,7.42,Other,compound_5143
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1NC1CCC2(CC1)COC2,P01375,,90.0,,7.046,Other,compound_5144
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1C[C@H](Cn2ccnc2)C1,P01375,,22.0,,7.658,Other,compound_5146
COCc1cncc(Nc2cc(-c3ccc4cc(C#N)cnn34)ncc2C(=O)NC[C@@H](F)C(C)(C)O)c1,P01375,,40.0,,7.398,Other,compound_5147
N#Cc1cnn2c(-c3cc(NC45CCC(O)(CC4)CC5)c(C(=O)NCC(=O)N4CCOCC4)cn3)ccc2c1,P01375,,23.0,,7.638,Other,compound_5148
COCCNC(=O)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1NC12CCC(O)(CC1)CC2,P01375,,323.0,,6.491,Other,compound_5149
N#Cc1cnn2c(-c3cc(NC45CCC(O)(CC4)CC5)c(C(=O)NCC(=O)N4CC(F)C4)cn3)ccc2c1,P01375,,79.0,,7.102,Other,compound_5150
CNC(=O)NC[C@H]1C[C@H](Nc2cc(-c3ccc4cc(C#N)cnn34)ncc2C(=O)NC[C@@H](F)C(C)(C)O)C1,P01375,,90.0,,7.046,Other,compound_5151
