canonical_smiles,uniprot_id,K,AC50,pK,pAC50,Protein_family,compound_id
COc1ccc(C(=O)Cc2c(Cl)cncc2Cl)c(OCC(N)=O)c1OC,Q08499,,20.0,,7.699,Enzyme,compound_11227
CC(C)c1nc(Nc2ccc(CC(=O)O)cc2)nc(-c2ccc(Cl)s2)n1,Q08499,,3580.0,,5.446,Enzyme,compound_11228
O=C(O)Cc1ccc(Nc2nc(-c3ccc(Cl)s3)nc(C3CC3)n2)cc1,Q08499,,1489.0,,5.827,Enzyme,compound_11230
O=C(O)Cc1ccc(Nc2nc(-c3cccc(Cl)c3)nc(C3CC3)n2)cc1,Q08499,,1181.0,,5.928,Enzyme,compound_11231
O=C(O)Cc1ccc(Nc2nc(-c3ccc(Cl)cc3)nc(C3CC3)n2)cc1,Q08499,,5611.0,,5.251,Enzyme,compound_11232
Cc1nc(Nc2ccc(CC(=O)O)cc2)nc(-c2ccco2)n1,Q08499,,22260.0,,4.652,Enzyme,compound_11233
O=C(O)Cc1ccc(Nc2nc(-c3cccc(F)c3)nc(C3CC3)n2)cc1,Q08499,,2107.0,,5.676,Enzyme,compound_11234
CCc1nc(Nc2ccc(CC(=O)O)cc2)nc(-c2ccc(F)cc2)n1,Q08499,,727.0,,6.138,Enzyme,compound_11235
O=C(O)Cc1ccc(CNc2nc(-c3ccc(Cl)cc3)nc(C3CC3)n2)cc1,Q08499,,859.0,,6.066,Enzyme,compound_11236
O=C(O)Cc1ccc(CNc2nc(-c3cccc(Cl)c3)nc(C3CC3)n2)cc1,Q08499,,726.0,,6.139,Enzyme,compound_11237
O=C(O)Cc1ccc(Oc2nc(-c3cccc(Cl)c3)nc(C3CC3)n2)cc1,Q08499,,2268.0,,5.644,Enzyme,compound_11238
